   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    93053    0.074    0.000   27.577    0.000 morph_bin.py:66(<lambda>)
        2    0.000    0.000    0.000    0.000 exponent.py:2(__init__)
  4682772    0.782    0.000    0.782    0.000 exponent.py:22(__init__)
       16    0.000    0.000    0.954    0.060 _base.py:646(__exit__)
       12    0.000    0.000    0.000    0.000 process.py:454(is_shutting_down)
     7451    0.015    0.000    0.018    0.000 word.py:194(extend_at_position)
       16    0.000    0.000    0.004    0.000 process.py:69(__init__)
        8    0.000    0.000    0.000    0.000 process.py:576(get_n_children_alive)
       48    0.000    0.000    0.002    0.000 tempfile.py:76(_exists)
    93053    5.666    0.000    9.355    0.000 word.py:208(get_factors)
    93053    5.306    0.000   27.503    0.000 exponent.py:76(is_exponent_free)
       16    0.000    0.000    0.000    0.000 _base.py:643(__enter__)
       32    0.000    0.000    0.002    0.000 context.py:65(Lock)
        4    0.000    0.000    0.000    0.000 _base.py:398(__get_result)
       20    0.000    0.000    0.001    0.000 process.py:84(wakeup)
       12    0.000    0.000    0.836    0.070 process.py:406(wait_result_broken_or_wakeup)
      8/4    0.000    0.000    0.928    0.232 threading.py:1025(_bootstrap_inner)
     16/4    0.000    0.000    0.000    0.000 threading.py:327(wait)
       48    0.000    0.000    0.000    0.000 <frozen ntpath>:99(join)
       17    0.386    0.023    4.993    0.294 word.py:252(generate_greedy_words_unique)
  4682772    2.199    0.000    2.971    0.000 exponent.py:7(is_less_than)
        4    0.000    0.000    0.000    0.000 _base.py:364(cancel)
    91216    0.261    0.000   27.997    0.000 extremal.py:18(is_nearly_extremal)
        4    0.000    0.000    0.000    0.000 _base.py:537(set_result)
       20    0.000    0.000    0.837    0.042 _base.py:612(result_iterator)
        4    0.000    0.000    0.000    0.000 _base.py:428(result)
        4    0.000    0.000    0.000    0.000 _base.py:497(set_running_or_notify_cancel)
        4    0.000    0.000    0.000    0.000 process.py:283(__init__)
       16    0.000    0.000    0.001    0.000 process.py:383(add_call_item_to_queue)
       16    0.001    0.000    0.954    0.060 process.py:845(shutdown)
       16    0.000    0.000    0.019    0.001 process.py:637(__init__)
        4    0.000    0.000    0.928    0.232 process.py:331(run)
       16    0.000    0.000    0.000    0.000 queues.py:69(_reset)
       16    0.000    0.000    0.004    0.000 queues.py:35(__init__)
       12    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
       16    0.000    0.000    0.004    0.000 process.py:170(__init__)
       16    0.000    0.000    0.000    0.000 process.py:578(<genexpr>)
        4    0.000    0.000    0.000    0.000 process.py:147(__init__)
        4    0.000    0.000    0.000    0.000 process.py:161(__init__)
       20    0.000    0.000    0.000    0.000 queue.py:267(_qsize)
        4    0.000    0.000    0.000    0.000 queue.py:275(_get)
       36    0.000    0.000    0.000    0.000 threading.py:398(notify)
        4    0.000    0.000    0.000    0.000 process.py:541(shutdown_workers)
       16    0.000    0.000    0.005    0.000 process.py:585(_check_system_limits)
        4    0.001    0.000    0.928    0.232 process.py:555(join_executor_internals)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        4    0.000    0.000    0.000    0.000 process.py:73(close)
       16    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       96    0.000    0.000    0.000    0.000 connection.py:118(__init__)
        4    0.000    0.000    0.000    0.000 weakref.py:369(remove)
       12    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
      8/4    0.000    0.000    0.000    0.000 threading.py:641(wait)
        4    0.000    0.000    0.000    0.000 threading.py:519(release)
        8    0.000    0.000    0.000    0.000 connection.py:208(recv_bytes)
       48    0.000    0.000    0.000    0.000 tempfile.py:229(_get_candidate_names)
       76    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
       76    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
       12    0.000    0.000    0.000    0.000 threading.py:312(_release_save)
       12    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
       16    0.000    0.000    0.001    0.000 context.py:85(BoundedSemaphore)
       16    0.000    0.000    0.000    0.000 threading.py:461(__init__)
      8/4    0.000    0.000    0.928    0.232 threading.py:998(_bootstrap)
        8    0.000    0.000    0.000    0.000 threading.py:1047(_delete)
       12    0.000    0.000    0.000    0.000 threading.py:1427(current_thread)
       20    0.000    0.000    0.000    0.000 context.py:372(assert_spawning)
       96    0.000    0.000    0.002    0.000 tempfile.py:153(__next__)
        8    0.000    0.000    0.000    0.000 reduction.py:223(_reduce_partial)
       48    0.000    0.000    0.001    0.000 connection.py:174(close)
       96    0.000    0.000    0.001    0.000 connection.py:277(_close)
       20    0.000    0.000    0.002    0.000 connection.py:253(poll)
       44    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
       20    0.000    0.000    0.837    0.042 process.py:617(_chain_from_iterable_of_lists)
       64    0.000    0.000    0.000    0.000 context.py:187(get_context)
       16    0.000    0.000    0.000    0.000 context.py:237(get_context)
        4    0.000    0.000    0.000    0.000 context.py:253(get_start_method)
        8    0.000    0.000    0.001    0.000 reduction.py:48(dumps)
       12    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
       12    0.000    0.000    0.000    0.000 threading.py:1145(daemon)
        4    0.000    0.000    0.000    0.000 weakref.py:427(__setitem__)
        4    0.000    0.000    0.000    0.000 queue.py:271(_put)
        8    0.000    0.000    0.000    0.000 threading.py:592(__init__)
       32    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
       12    0.000    0.000    0.002    0.000 process.py:88(clear)
        4    0.000    0.000    0.000    0.000 queues.py:55(__getstate__)
       56    0.000    0.000    0.000    0.000 process.py:37(current_process)
        8    0.000    0.000    0.000    0.000 threading.py:1265(_make_invoke_excepthook)
      8/4    0.000    0.000    0.951    0.238 threading.py:1056(join)
        8    0.000    0.000    0.000    0.000 process.py:153(is_alive)
        4    0.000    0.000    0.000    0.000 process.py:441(process_result_item)
       16    0.000    0.000    0.000    0.000 connection.py:1173(reduce_pipe_connection)
       48    0.000    0.000    0.004    0.000 tempfile.py:400(mktemp)
        4    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
       28    0.000    0.000    0.002    0.000 connection.py:182(send_bytes)
        4    0.000    0.000    0.000    0.000 process.py:515(flag_executor_shutting_down)
       92    0.000    0.000    0.000    0.000 threading.py:281(__init__)
       16    0.000    0.000    0.000    0.000 reduction.py:106(__init__)
       16    0.000    0.000    0.000    0.000 queue.py:46(__init__)
        4    0.000    0.000    0.926    0.232 process.py:559(_join_executor_internals)
        4    0.000    0.000    0.000    0.000 threading.py:472(acquire)
      8/4    0.000    0.000    0.000    0.000 threading.py:953(start)
        8    0.000    0.000    0.000    0.000 threading.py:869(__init__)
        8    0.000    0.000    0.001    0.000 queues.py:84(put)
        4    0.000    0.000    0.001    0.000 process.py:791(submit)
        4    0.000    0.000    0.000    0.000 queue.py:140(put)
       20    0.000    0.000    0.000    0.000 queue.py:180(get)
        4    0.000    0.000    0.000    0.000 process.py:80(__init__)
        4    0.000    0.000    0.021    0.005 process.py:110(start)
        4    0.000    0.000    0.000    0.000 spawn.py:83(get_command_line)
        4    0.000    0.000    0.000    0.000 spawn.py:160(get_preparation_data)
       48    0.001    0.000    0.009    0.000 connection.py:552(Pipe)
       12    0.000    0.000    0.000    0.000 connection.py:310(_recv_bytes)
       28    0.000    0.000    0.002    0.000 connection.py:284(_send_bytes)
       24    0.001    0.000    0.833    0.035 connection.py:1044(wait)
        4    0.000    0.000    0.001    0.000 queues.py:229(_feed)
       24    0.000    0.000    0.831    0.035 connection.py:1010(_exhaustive_wait)
       12    0.000    0.000    0.000    0.000 util.py:178(__init__)
       96    0.001    0.000    0.001    0.000 random.py:458(choices)
        2    0.000    0.000    0.000    0.000 random.py:128(seed)
        4    0.000    0.000    0.000    0.000 queues.py:173(_start_thread)
       12    0.000    0.000    0.842    0.070 util.py:197(__call__)
        4    0.000    0.000    0.000    0.000 subprocess.py:306(_args_from_interpreter_flags)
        1    0.000    0.000    0.001    0.001 popen_spawn_win32.py:1(<module>)
       12    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
       12    0.000    0.000    0.084    0.007 popen_spawn_win32.py:105(wait)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
       16    0.000    0.000    0.000    0.000 threading.py:605(is_set)
        4    0.000    0.000    0.000    0.000 threading.py:843(_newname)
        8    0.000    0.000    0.000    0.000 threading.py:1018(_set_ident)
        8    0.000    0.000    0.000    0.000 threading.py:1022(_set_native_id)
       16    0.000    0.000    0.000    0.000 queue.py:264(_init)
       16    0.000    0.000    0.004    0.000 context.py:60(Pipe)
       64    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
       32    0.000    0.000    0.000    0.000 connection.py:159(readable)
       32    0.000    0.000    0.000    0.000 connection.py:164(writable)
        4    0.000    0.000    0.021    0.005 context.py:334(_Popen)
        4    0.000    0.000    0.000    0.000 queues.py:135(put_nowait)
       52    0.000    0.000    0.000    0.000 context.py:366(get_spawning_popen)
